"ID","Vaccine Name","Disease Name","Disease Classification","Virus Name","Nucleic Acid Content","Vaccine Type","Vaccine Status","Manufacturer","Year of Manufacturing","Manufacturing Country","Age","Dosage","Administration Route","Adjuvant","Target Strain","Description","Approving Organisation","Collaborating Organisation","Other Countries","Trade Name","PMID","Clinical Trial ID","Reference Link","Additional Links"
"10089","Weisairuiji Biovac-A Mevac-A","Hepatitis A","Hepatitic","Hepatitis A virus","positive-sense, single-stranded RNA","Live-attenuated","Approved","Institute of Medical Biology, Chinese Academy of Medical Sciences","NA","China","NA","Single dose","Subcutaneous","NA","H2 strain of HAV","NA","China FDA, US FDA","NA","NA","NA","29661808","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6360863/","https://www.fda.moph.go.th/sites/drug/Shared%20Documents/Vaccine/U1DR1C1072530000811C-SPC.pdf"
"10090","HAVAC","Hepatitis A","Hepatitic","Hepatitis A virus","positive-sense, single-stranded RNA","Live-attenuated","Approved","Changchun Institute of Biological Products","NA","China","NA","Single dose","Subcutaneous","NA","LA-1","NA","Government of Canada","Changchun Changsheng Life Sciences","NA","NA","24280971","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4130259/","https://www.canada.ca/en/public-health/services/publications/healthy-living/update-recommended-use-hepatitis-b-vaccine.html"
"10091","HAVAC","Hepatitis A","Hepatitic","Hepatitis A virus","positive-sense, single-stranded RNA","Live-attenuated","Approved","Changchun Institute of Biological Products","NA","China","NA","Single dose","Subcutaneous","NA","LA-1","NA","Government of Canada","Changchun Changsheng Life Sciences","NA","NA","29661808","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6360863/","https://www.canada.ca/en/public-health/services/publications/healthy-living/update-recommended-use-hepatitis-b-vaccine.html"
"10092","HAVRIX","Hepatitis A","Hepatitic","Hepatitis A virus","positive-sense, single-stranded RNA","Inactivated","Approved","GlaxoSmithKline","NA","Belgium","NA","P: 720 EU; Adults: 1440 EU; 2 doses 0, 6â€“12","Intramuscular","Aluminum (aluminium hydroxide)","HM-175","NA","US FDA","NA","NA","NA","29661808","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6360863/","https://www.fda.gov/files/vaccines%2C%20blood%20%26%20biologics/published/Package-Insert---HAVRIX.pdf"
"10093","VAQTA","Hepatitis A","Hepatitic","Hepatitis A virus","positive-sense, single-stranded RNA","Inactivated","Approved","Merck & Co. Inc.","NA","USA","NA","P: 25 U; Adults: 50 U; 2 doses 0, 6â€“18","Intramuscular","Aluminum (aluminium hydroxide)","CR-326","NA","US FDA","NA","NA","NA","29661808","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6360863/","https://www.fda.gov/vaccines-blood-biologics/vaccines/vaqta"
"10094","AVAXIM","Hepatitis A","Hepatitic","Hepatitis A virus","positive-sense, single-stranded RNA","Inactivated","Approved","Sanofi Pasteur","NA","Lyon, France","NA","P: 80 U; Adults: 160 U","Intramuscular","Aluminum (aluminium hydroxide)","GBM","NA","US FDA","NA","NA","NA","29661808","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6360863/","https://www.fda.moph.go.th/sites/drug/Shared%20Documents/Vaccine/U1DR1C1062460010911C-SPC.pdf"
"10095","Healive","Hepatitis A","Hepatitic","Hepatitis A virus","positive-sense, single-stranded RNA","Inactivated","Approved","Sinovac Biotech Ltd.","NA","China","NA","P: 250 U; Adults: 500 U","Intramuscular","Aluminum (aluminium hydroxide)","TZ-84","NA","China FDA","NA","NA","NA","29661808","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6360863/","http://www.sinovac.com/news/shownews.php?id=764&lang=en"
"10096","Weisairuiji Biovac-A Mevac-A","Hepatitis A","Hepatitic","Hepatitis A virus","positive-sense, single-stranded RNA","Inactivated","Approved","Institute of Medical Biology, Chinese Academy of Medical Sciences","NA","China","NA","P: 320 EU; Adults: 640 EU","Intramuscular","Aluminum (aluminium hydroxide)","Lv-8","NA","China FDA","NA","NA","NA","29661808","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6360863/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7482852/"
"10097","Veraxim","Hepatitis A","Hepatitic","Hepatitis A virus","positive-sense, single-stranded RNA","Inactivated","Approved","Shanghai Wilson Bioengineering","NA","China","NA","P: 800 EU; Adults: 1600 EU","Intramuscular","Aluminum (aluminium hydroxide)","YN-5","NA","Government of China","NA","NA","NA","29661808","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6360863/","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6360863/"
"10098","HAVRIX","Hepatitis A","Hepatitic","Hepatitis A virus","positive-sense, single-stranded RNA","Inactivated","Approved","GlaxoSmithKline","NA","Belgium","12 months and above","Single dose for adult and 2 doses 6 to 12 months apart for infants","Intramuscular","NA","NA","NA","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/hepatitis/hav/havfaq.htm#vaccine","https://www.fda.gov/vaccines-blood-biologics/vaccines/havrix"
"10099","VAQTA","Hepatitis A","Hepatitic","Hepatitis A virus","positive-sense, single-stranded RNA","Inactivated","Approved","Merck & Co. Inc.","NA","USA","12 months and above","2 doses 6 to 18 months apart","Intramuscular","NA","NA","NA","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/hepatitis/hav/havfaq.htm#vaccine","https://www.fda.gov/vaccines-blood-biologics/vaccines/vaqta"
"10100","TWINRIX","Hepatitis A, Hepatitis B","Hepatitic","Hepatitis A, Hepatitis B virus","positive-sense, single-stranded RNA","Inactivated","Approved","GlaxoSmithKline","NA","Rixensart, Belgium","18 years and above","3 doses at regimen of 0, 1, and 6 months","Intramuscular","Aluminum","Strain HM175, HBsAg","NA","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/hepatitis/hav/havfaq.htm#vaccine","https://www.fda.gov/vaccines-blood-biologics/vaccines/twinrix"
"10101","ENGERIX-B","Hepatitis B","Hepatitic","Hepatitis B virus","double stranded DNA","DNA based vaccine","Approved","GlaxoSmithKline","NA","Rixensart, Belgium","All age group","3 doses at regimen of 0, 1, and 6 months","Intramuscular","NA","HBsAg","NA","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/hepatitis/hbv/hbvfaq.htm#vaccFAQ","https://www.fda.gov/vaccines-blood-biologics/vaccines/engerix-b"
"10102","RECOMBIVAX HB","Hepatitis B","Hepatitic","Hepatitis B virus","double stranded DNA","Protein subunit","Approved","Merck & Co. Inc.","NA","USA","All age group","2 doses 6 months apart","Intramuscular","NA","HBsAg","NA","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/hepatitis/hbv/hbvfaq.htm#vaccFAQ","https://www.fda.gov/vaccines-blood-biologics/vaccines/recombivax-hb"
"10103","HEPLISAV-B","Hepatitis B","Hepatitic","Hepatitis B virus","double stranded DNA","Subunit vaccine","Approved","Dynavax","NA","NA","18 years and above","2 doses 1 month apart","Intramuscular","CpG","HepB","NA","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/hepatitis/hbv/hbvfaq.htm#vaccFAQ","https://www.fda.gov/vaccines-blood-biologics/vaccines/heplisav-b"
"10104","PEDIARIX","Hepatitis B, Diphtheria, Tetanus, Acellular pertussis , Poliomyelitis","Hepatitic","Hepatitis B virus","double stranded DNA","NA","Approved","GlaxoSmithKline","NA","USA","6 weeks - 7 years","2 doses 6 months apart","Intramuscular","NA","HBsAg","NA","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/hepatitis/hbv/hbvfaq.htm#vaccFAQ","https://www.fda.gov/vaccines-blood-biologics/vaccines/pediarix"
"10105","HBVaxPRO","Hepatitis B","Hepatitic","Hepatitis B virus","double stranded DNA","Subunit vaccine","Approved","Sanofi Pasteur","NA","USA","18 years and above","NA","Intramuscular","NA","HBsAg","NA","EMA","NA","NA","NA","26208678","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4685678/","https://www.ema.europa.eu/en/documents/overview/hbvaxpro-epar-summary-public_en.pdf"
"10106","Fendrix","Hepatitis B","Hepatitic","Hepatitis B virus","double stranded DNA","NA","Approved","GlaxoSmithKline","NA","Belgium","NA","NA","Intradermal, Intravenous","AS043","HBsAg","NA","US FDA","NA","NA","NA","26208678","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4685678/","https://www.ema.europa.eu/en/medicines/human/EPAR/fendrix"
"10107","Hecolin (Hepatitis vaccine -239)","Hepatitis E","Hepatitic","Hepatitis E virus","double stranded DNA","Virus like particle","Approved","Xiamen Innovax Biotech","2011","China","NA","3 doses at regimen of 0, 1, and 6 months","Intramuscular","NA","HEV-1 Chinese strain","NA","China FDA","NA","NA","NA","27610014","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4988308/","https://www.precisionvaccinations.com/vaccines/hecolin-hepatitis-e-vaccine"
"10108","Hecolin (Hepatitis vaccine -239)","Hepatitis E","Hepatitic","Hepatitis E virus","double stranded DNA","Recombinant viral vector","Approved","Xiamen Innovax Biotech","2011","China","NA","3 doses at regimen of 0, 1, and 6 months","Intramuscular","Aluminum (aluminium hydroxide)","Capsid Protein ORF2","NA","China FDA","NA","NA","Hecolin","29546064","NCT01014845","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5818934/","https://www.precisionvaccinations.com/vaccines/hecolin-hepatitis-e-vaccine"
"10109","AMBIRIX","Hepatitis A, Hepatitis B","Hepatitic","Hepatitis A, Hepatitis B virus","double stranded DNA","Inactivated","Approved","GlaxoSmithKline","2002","Belgium","1 - 15 years","2 doses 6 to 12 months apart","Intramuscular","Aluminum (aluminium hydroxide)","Inactivated hepatitis A virus and surface antigen of hepatitis B virus","Produced on human diploid (MRC-5) cells","EMA","NA","NA","NA","NA","NA","https://www.ema.europa.eu/en/documents/product-information/ambirix-epar-product-information_en.pdf","https://www.ema.europa.eu/en/documents/product-information/ambirix-epar-product-information_en.pdf"
"10110","AMBIRIX","Hepatitis A, Hepatitis B","Hepatitic","Hepatitis A, Hepatitis B virus","double stranded DNA","Inactivated","Approved","GlaxoSmithKline","2002","Belgium","2 - 15 years","2 doses 6 to 12 months apart","Intramuscular","Aluminum (aluminum phosphate)","Inactivated hepatitis A virus and surface antigen of hepatitis B virus","Produced in yeast cells (Saccharomyces cerevisiae) by recombinant DNA technology","EMA","NA","NA","NA","NA","NA","https://www.ema.europa.eu/en/documents/product-information/ambirix-epar-product-information_en.pdf","https://www.ema.europa.eu/en/documents/product-information/ambirix-epar-product-information_en.pdf"
"10111","VIVAXIM","Hepatitis A, Typhoid","Hepatitic","Hepatitis A virus, Salmonella typhi","double stranded DNA","NA","Approved","Sanofi Pasteur","2007","France","16 years and above","Single dose","Intramuscular","Aluminum (aluminium hydroxide)","Salmonella typhi Vi polysaccharide (Ty 2 strain) and formaldehyde inactivated hepatitis A virus antigen (GBM strain)","GBM strain cultured on MRC-5 human diploid cells","Government of Canada","NA","NA","VIATIM","NA","NA","http://products.sanofi.com.au/vaccines/VIVAXIM_NZ_PI.pdf","https://pdf.hres.ca/dpd_pm/00032177.PDF"
"10112","Imovax Rabies(Pre exposure)","Rabies","Neurologic","Rabies virus","negative-sense, single-stranded RNA","Inactivated","Approved","Sanofi Pasteur","2005","France","All age group","3 doses on day 0, 7 and 21","Intramuscular","NA","WISTAR Rabies PM/WI38-1503-3M  strain","Human diploid cell vaccine","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/vaccines/vpd/rabies/hcp/index.html#ref","https://www.fda.gov/vaccines-blood-biologics/vaccines/imovax"
"10113","Imovax Rabies(Post exposure)","Rabies","Neurologic","Rabies virus","negative-sense, single-stranded RNA","Inactivated","Approved","Sanofi Pasteur","2005","France","All age group","5 doses on day 0, 3, 7, 14 and 28","Intramuscular","NA","WISTAR Rabies PM/WI38-1503-3M  strain","Human diploid cell vaccine","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/vaccines/vpd/rabies/hcp/index.html#ref","https://www.fda.gov/vaccines-blood-biologics/vaccines/imovax"
"10114","RabAvert","Rabies","Neurologic","Rabies virus","negative-sense, single-stranded RNA","Inactivated","Approved","Novartis","NA","NA","All age group","4 doses on day 0, 3, 7 and 14","Intramuscular","NA","NA","Purified chick embryo cell ","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/vaccines/vpd/rabies/hcp/index.html#ref","https://www.fda.gov/files/vaccines%2C%20blood%20&%20biologics/published/Package-Insert---RabAvert.pdf"
"10115","Imogam Rabies-HT","Rabies","Neurologic","Rabies virus","negative-sense, single-stranded RNA","Inactivated","Approved","Sanofi Pasteur","NA","NA","All age group","4 doses on day 0, 7 and 21 or 28","Intramuscular","NA","NA","Rabies Immunoglobin","Government of Canada","NA","NA","NA","NA","NA","https://www.cdc.gov/vaccines/vpd/rabies/hcp/index.html#ref","https://www.sanofi.ca/dam/jcr:21c480e0-afcd-4a38-bfee-fb9b7a6b21e0/imogam-rabies-pasteurized.pdf"
"10116","HyperRabTM S/D","Rabies","Neurologic","Rabies virus","negative-sense, single-stranded RNA","Inactivated","Approved","Talecris Biotherapeutics Bayer Biological Products","NA","NA","NA","NA","Intramuscular","NA","NA","Rabies Immunoglobin","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/vaccines/vpd/rabies/hcp/index.html#ref","https://www.hyperrab.com/en/hcp"
"10117","Verorab","Rabies","Neurologic","Rabies virus","negative-sense, single-stranded RNA","Inactivated","Approved","Sanofi Pasteur","2015","France","NA","5 doses on day 0, 3, 7, 14 and 28","Intramuscular","NA","WISTAR Rabies PM/WI38-1503-3M  strain","Purified vero cell rabies vaccine","DCGI","NA","NA","NA","NA","NA","https://www.cdc.gov/vaccines/vpd/rabies/hcp/index.html#ref","https://ncdc.gov.in/WriteReadData/l892s/File557.pdf"
"10118","Lyssavac N","Rabies","Neurologic","Rabies virus","negative-sense, single-stranded RNA","Inactivated","Approved","Zydus Candila Healthcare Limited","NA","India","NA","3 doses on day 0, 7 and 21","Intramuscular","NA","NA","Purified duck embryo cell","WHO","Berna Biotech","NA","NA","NA","NA","https://www.fda.moph.go.th/sites/drug/Summary/1C_278_50_Lyssavac%20N%20Injection.pdf","https://www.livemint.com/Companies/XopdfNnBp4Y6189QY3PY2N/Zydus-Cadila-receives-WHO-nod-for-rabies-vaccine.html"
"10119","Rabipur","Rabies","Neurologic","Rabies virus","negative-sense, single-stranded RNA","Inactivated","Approved","GlaxoSmithKline","NA","NA","All age group","3 doses on day 0, 7 and 21","Intramuscular","NA","NA","Purified chick embryo cell","DCGI","NA","NA","NA","NA","NA","https://www.cdc.gov/vaccines/vpd/rabies/hcp/index.html#ref","https://www.wbhealth.gov.in/uploaded_files/IDSP/Guideline_Rabies_prophylaxis_PPT_PDF.pdf"
"10120","Rabivax-S","Rabies","Neurologic","Rabies virus","negative-sense, single-stranded RNA","Inactivated","Approved","Ross University School of Veterinary Medicine","2019","India","All age group","3 doses on day 0, 7 and 21","Intramuscular","NA","NA","Human diploid cell vaccine","DCGI","Serum Institute of India","NA","NA","NA","NCT03741270","https://clinicaltrials.gov/ct2/show/NCT03741270","http://test.pharmabiz.com/news/serum-institute-launches-rabies-vaccine-rabivax-24382"
"10121","KAMRAB-003","Rabies","Neurologic","Rabies virus","negative-sense, single-stranded RNA","Live-attenuated","Approved","Kamada Ltd.","2014","USA","18 - 75 years","5 doses on day 0, 3, 7, 14 and 28","Intramuscular","NA","NA","NA","US FDA","NA","NA","NA","NA","NCT02040090","https://clinicaltrials.gov/ct2/show/NCT02040090?cond=Rabies+Human&phase=23&draw=2&rank=5","https://pdf.hres.ca/dpd_pm/00048173.PDF"
"10122","Speeda","Rabies","Neurologic","Rabies virus","negative-sense, single-stranded RNA","Inactivated","Approved","Beijing Center for Disease Control and Prevention","2013","China","NA","3 doses on day 0, 7 and 21","Intramuscular","NA","NA","NA","Thailand FDA","NA","NA","NA","NA","NCT01821911","https://clinicaltrials.gov/ct2/show/NCT01821911?cond=Rabies+Human&phase=23&draw=2&rank=7","https://www.immunize.org/askexperts/experts_rab.asp"
"10123","SA14-14-2 (IXIARO)","Viral encephalitis","Neurologic","West Nile virus","positive-sense, single-stranded RNA","Live-attenuated","Approved","Sanofi Pasteur","2013","Thailand","NA","NA","Subcutaneous","NA","SA 14-14-2","Cell culture based","NA","NA","NA","NA","24161909","NCT01092507","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4185882/","https://www.fda.gov/media/75777/download"
"10124","ENCEVAC","Viral encephalitis","Neurologic","West Nile virus","positive-sense, single-stranded RNA","Inactivated","Approved","Research Foundation for Microbial Diseases of Osaka University","NA","NA","NA","NA","Subcutaneous","NA","Beijing-1(P1)","Cell culture based","NA","NA","NA","JEBIK V (BIKEN), KD-287,  JEIMMUGEN INJ (Kaketsuken)","24161909","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4185882/","https://ifli.wisc.edu/wp-content/uploads/sites/528/2019/05/Japanese-Encephalitis.pdf"
"10125","IXIARO","Viral encephalitis","Neurologic","West Nile virus","positive-sense, single-stranded RNA","Inactivated","Approved","Valneva","NA","UK","2 months and above","2 doses 28 days apart","Intramuscular","Aluminum (aluminium hydroxide)","Beijing-3(P3), SA14-14-2","Cell culture based","US FDA","NA","New Zealand, Europe, India, China, US, Japan","IC51, JESPECT, JEEV (Intercell AG) in Australia","24161909","NA","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4185882/","https://www.fda.gov/vaccines-blood-biologics/vaccines/ixiaro"
"10126","IMOJEV","Viral encephalitis","Neurologic","West Nile virus","positive-sense, single-stranded RNA","Live-attenuated","Approved","Sanofi Pasteur","2017","Thailand","9 months and above","3 doses","Subcutaneous","NA","SA 14-14-2","Mouse brain based","US FDA","NA","NA","ChimeriVax-JE, JE-CV, THAIJEV (Sanofi-Aventis)","24161909","NCT01900444","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4185882/","https://www.fda.gov/vaccines-blood-biologics/vaccines/japanese-encephalitis-vaccine-inactivated-adsorbed"
"10127","IPOL","Poliomyelitis","Neurologic","Poliovirus","positive-sense, single-stranded RNA","Inactivated","Approved","Sanofi Pasteur","NA","NA","6 months  and above","2-3 doses depending on volume and age","Intramuscular","NA","P1, P2 and P3","Monkey kidney cell ","US FDA","NA","NA","NA","NA","NA","https://www.fda.gov/vaccines-blood-biologics/vaccines/ipol-poliovirus-vaccine-inactivated-monkey-kidney-cell","NA"
"10128","KINRIX","Poliomyelitis","Neurologic","Poliovirus","positive-sense, single-stranded RNA","Inactivated","Approved","GlaxoSmithKline","2008","NA","4 - 6 years","5 doses","Intramuscular","NA","P1, P2 and P4","NA","US FDA","NA","NA","NA","NA","NA","https://www.fda.gov/vaccines-blood-biologics/vaccines/kinrix","NA"
"10129","PEDIARIX","Poliomyelitis","Neurologic","Poliovirus","positive-sense, single-stranded RNA","Inactivated","Approved","GlaxoSmithKline","2002","NA","6 weeks - 6 years","3 doses at regimen of 2, 4, and 6 months of age.","Intramuscular","NA","P1, P2 and P5","NA","US FDA","NA","NA","NA","NA","NA","https://www.fda.gov/vaccines-blood-biologics/vaccines/pediarix","NA"
"10130","Pentacel","Poliomyelitis","Neurologic","Poliovirus","positive-sense, single-stranded RNA","Inactivated","Approved","Sanofi Pasteur","2008","NA","6 weeks - 4 years","4 doses at regimen of 2, 4, 6 and 15-18 months of age","Intramuscular","NA","P1, P2 and P6","NA","US FDA","NA","NA","NA","NA","NA","https://www.fda.gov/vaccines-blood-biologics/vaccines/pentacel","NA"
"10131","ACAM2000","Smallpox","Exanthous","Variola virus","double stranded DNA","Live-attenuated","Approved","Emergent BioSolutions","2003","USA","Below 12 months of age","Single dose","Percutaneous","NA","Recombinant vaccinia viruses derived from replication-competent vaccinia strain","Lyophilized","US FDA","NA","NA","NA","NA","NA","https://www.fda.gov/vaccines-blood-biologics/vaccines/acam2000","NA"
"10132","JYNNEOS","Smallpox","Exanthous","Variola virus","double stranded DNA","Live-attenuated","Approved","Bavarian Nordic","NA","Denmark","18 years and above","2 doses 4 weeks apart","Subcutaneous","NA","Vaccinia Virus Ankar","NA","US FDA","NA","NA","Imvamune, Imvanex, MVA-BN","NA","NA","https://www.fda.gov/vaccines-blood-biologics/jynneos","https://www.fda.gov/media/131078/download"
"10133","Aventis Pasteur Smallpox Vaccine","Smallpox","Exanthous","Variola virus","double stranded DNA","Live-attenuated","Approved","National Institute of Allergy and Infectious Diseases","2010","USA","18 - 32 years","NA","Percutaneous","NA","NA","NA","US FDA","NA","NA","NA","NA","NCT00038987","https://www.fda.gov/emergency-preparedness-and-response/mcm-issues/smallpox-preparedness-and-response-updates-fda","https://clinicaltrials.gov/ct2/show/NCT00038987"
"10134","Priorix","Measles, Mumps, Rubella, Chickenpox","Exanthous","Morbillivirus, Mumps virus, Rubella virus, Varicella-zoster virus","negative-sense, single-stranded RNA","Live-attenuated","Approved","GlaxoSmithKline","2019","NA","11 months - 22 months","2 doses 42 days apart","Subcutaneous","NA","Vaccinia Virus","NA","NA","NA","NA","NA","NA","NCT00226499","https://www.fda.gov/vaccines-blood-biologics/priorix","https://clinicaltrials.gov/ct2/show/NCT00226499"
"10135","Varivax","Chickenpox","Exanthous","Varicella-zoster virus","double stranded DNA","Live-attenuated","Approved","Merck & Co. Inc.","2007","USA","1 - 12 years","2 doses (0.5 ml each) separated by at least 3 months.# First dose: age 12 through 15 months, Second dose: age 4 through 6 years","Subcutaneous","NA","Oka/Merck strain of live-attenuated varicella virus","NA","US FDA","NA","NA","NA","NA","NCT00822237","https://www.cdc.gov/vaccines/vpd/varicella/index.html","https://www.fda.gov/vaccines-blood-biologics/vaccines/varivax"
"10136","Varivax","Chickenpox","Exanthous","Varicella-zoster virus","double stranded DNA","Live-attenuated","Approved","Merck & Co. Inc.","2007","USA","12 - 23 months","2 doses 4 weeks apart","Subcutaneous","NA","Oka/Merck strain of live-attenuated varicella virus","NA","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/vaccines/vpd/varicella/index.html","https://www.fda.gov/vaccines-blood-biologics/vaccines/varivax"
"10137","ProQuad","Measles, Mumps, Rubella, Varicella","Exanthous","Morbillivirus, Mumps virus, Rubella virus, Varicella-zoster virus","negative-sense, single-stranded RNA","Live-attenuated","Approved","Merck & Co. Inc.","NA","USA","1 - 12 years","First dose at 12 through 15 months of age and Second dose at 4 through 6 years of age","Subcutaneous","NA","NA","NA","US FDA","NA","NA","NA","NA","NCT00985166","https://www.cdc.gov/vaccines/vpd/varicella/index.html","https://www.fda.gov/vaccines-blood-biologics/vaccines/proquad"
"10138","RotaTeq (RV5)","Rotavirus Infection","Gastrointestinal","Rotavirus","double stranded RNA","Live-attenuated","Approved","Merck & Co. Inc.","NA","USA","6 months - 8 months","3 doses at age of 2 months, 4 months, and 6 months","Oral","NA","5 human-bovine reassortant rotaviruses (G1, G2, G3 G4, P[8])","NA","US FDA","NA","NA","NA","NA","NA","https://www.cdc.gov/vaccines/vpd/rotavirus/index.html","https://www.fda.gov/media/75718/download"
"10139","Rotarix (RV1)","Rotavirus Infection","Gastrointestinal","Rotavirus","double stranded RNA","Live-attenuated","Approved","GlaxoSmithKline","2006","UK","6 months - 8 months","2 doses at ages 2 months and 4 months","Oral","NA","Human rotavirus strain (G1P[8])","NA","US FDA, EMA","NA","NA","NA","NA","NA","https://www.cdc.gov/vaccines/vpd/rotavirus/index.html","https://www.fda.gov/vaccines-blood-biologics/vaccines/rotarix"
"10140","Rotavac","Rotavirus Infection","Gastrointestinal","Rotavirus","double stranded RNA","Live-attenuated","Approved","Bharat Biotech International Limited","2013","India","6 months - 8 months","3 doses 4 weeks apart","Oral","NA","Rotavirus 116E strain","NA","US FDA, Government of India","NA","NA","NA","NA","NA","https://www.who.int/immunization/research/meetings_workshops/11_Cassels_Rotavirus_PDVAC_2019.pdf?ua=1","https://www.fda.gov/vaccines-blood-biologics/vaccines/rotavirus-vaccine-live-oral"
"10141","RotaSiil","Rotavirus Infection","Gastrointestinal","Rotavirus","double stranded RNA","Live-attenuated","Approved","Serum Institute of India","2017","India","6 months - 8 months","3 doses 4 weeks apart","Oral","NA","Human-bovine reassortant rotaviruses (G1, G2, G3, G4, G9)","NA","National Institute of Health, Government of India","NA","NA","NA","NA","NA","https://www.who.int/immunization/research/meetings_workshops/11_Cassels_Rotavirus_PDVAC_2019.pdf?ua=1","https://www.fda.gov/vaccines-blood-biologics/vaccines/rotarix"
"10142","BL 125296","Adenovirus Infection","Respiratory","Adenovirus Type 4, Type 7","double stranded DNA","Live-attenuated","Approved","Barr Pharmaceuticals Inc.","NA","USA","17 - 50 years","2 doses","Oral","NA","Live adenovirus","NA","US FDA","NA","NA","NA","NA","NA","https://www.fda.gov/media/80211/download","https://www.fda.gov/vaccines-blood-biologics/vaccines/adenovirus-type-4-and-type-7-vaccine-live-oral"
"10143","Influenza A (H5N1) Virus Monovalent Vaccine, Adjuvanted","Influenza (flu)","Respiratory","Influenza A virus H5N1","positive-sense, single-stranded RNA","Inactivated","Approved","ID Biomedical Corporation of Quebec","2013","USA","6 months and above","2 doses 21 days apart","Intramuscular","AS03","A/H5N1 influenza antigen","NA","US FDA","NA","NA","NA","NA","NA","https://www.fda.gov/media/87479/download","https://www.fda.gov/vaccines-blood-biologics/vaccines/influenza-h5n1-virus-monovalent-vaccine-adjuvanted"
"10144","AUDENZ","Influenza (flu)","Respiratory","Influenza A virus H5N1","positive-sense, single-stranded RNA","Inactivated","Approved","Seqirus","2020","USA","6 months and above","2 doses 21 days apart","Intramuscular","MF59","Influenza virus strain A/turkey/Turkey/1/2005-NIBRG-23","NA","US FDA","NA","NA","NA","NA","NA","https://www.fda.gov/media/135020/download","https://www.fda.gov/vaccines-blood-biologics/audenz"
"10145","Fluvirin","Influenza (flu)","Respiratory","Influenza virus","positive-sense, single-stranded RNA","Inactivated","Approved","Seqirus","NA","USA","4 years and above","2 doses at least 1 month apart","Intramuscular","NA","Influenza subtypes A and B","NA","US FDA","NA","NA","NA","NA","NA","https://www.fda.gov/media/75156/download","https://www.fda.gov/vaccines-blood-biologics/vaccines/fluvirin"
"10146","KCONVAC","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Inactivated","Phase 1","Beijing Minhai Biotechnology Co. Ltd.","2021","China","18 years and above","NA","Intramuscular","NA","NA","NA","NA","NA","NA","NA","NA","NCT04758273","https://clinicaltrials.gov/show/NCT04758273","https://covid-19pharmacovigilance.paho.org/sinopharmbibp"
"10147","CoV2-OGEN1","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 1","US Specialty Formulations, VaxForm LLC.","2021","New Zealand","18 - 56 years","2 doses 14 days apart","Intramuscular","NA","NA","NA","NA","NA","NA","NA","NA","NCT04893512","https://clinicaltrials.gov/show/NCT04893512","NA"
"10148","MVA-SARS-2-S","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Recombinant viral vector","Phase 1","UniversitÃ¤tsklinikum Hamburg-Eppendorf","2021","Germany","18 - 55 years","2 doses 28 days apart","Intramuscular","NA","Spike protein of SARS-CoV-2 virus","NA","NA","Ludwig-Maximilians, University of Munich","NA","NA","NA","NCT04569383","https://clinicaltrials.gov/show/NCT04569383","NA"
"10149","OSE13E","COVID-19","Respiratory","SARS-CoV-2 virus","positive-sense, single-stranded RNA","Protein subunit","Phase 1","OSE Immunotherapeutics","2021","Belgium","18 - 45 years","2 doses 21 days apart","Subcutaneous","NA","11 different proteins of SARS-CoV-2 virus","NA","NA","NA","NA","CoVepiT ","NA","NCT04885361","https://clinicaltrials.gov/show/NCT04885361","NA"
